,timestamp,event_name,source,fields,severity,message
0,1664582401,high_temperature_log,C-1,"[{""device_name"": ""C-1"", ""ip_address"": ""10.2.1.1"", ""hw_revision"": ""hw3959392""}]",warning,"2022-10-01 00:00:01: shelf_mgr[5371]: %INFRA-SHELF_MGR-3-HW_HIGH_TEMP : HW warning event HW_EVENT_FAILURE, event_reason_str 'High Temperature' for device C-1 with hw revision hw3959392"
426,1664582401,interface_down,tun-1-1-13-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-13-2"", ""link_id"": ""tun-1-1-13-2""}]",error,2022-10-01 00:00:01: if_mgr[7358]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-13-2 in device E-1-1
427,1664582401,interface_down,tun-1-1-26-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-26-1"", ""link_id"": ""tun-1-1-26-1""}]",error,2022-10-01 00:00:01: if_mgr[6436]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-26-1 in device E-1-1
428,1664582401,interface_local_fault,tun-1-1-30-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-30-2"", ""link_id"": ""tun-1-1-30-2""}]",critical,"2022-10-01 00:00:01: npu_drvr[5440]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-30-2, Detected Local Fault"
429,1664582401,interface_up,tun-1-1-33-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-33-1"", ""link_id"": ""tun-1-1-33-1""}]",info,2022-10-01 00:00:01: if_mgr[342]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: tun-33-1 in device E-1-1
430,1664582401,bgp_session_down,tun-1-1-33-2,"[{""device_name"": ""E-1-1"", ""local_address"": ""1.1.33.21/30"", ""remote_peer_address"": ""1.1.33.22/30"", ""remote_id"": ""E-33-2""}]",critical,2022-10-01 00:00:01: bgp_mgr[2136]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 1.1.33.22/30 changed state to down in device E-1-1
431,1664582401,interface_down,tun-1-1-49-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-49-1"", ""link_id"": ""tun-1-1-49-1""}]",error,2022-10-01 00:00:01: if_mgr[4144]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-49-1 in device E-1-1
432,1664582401,interface_down,tun-1-1-50-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-50-1"", ""link_id"": ""tun-1-1-50-1""}]",error,2022-10-01 00:00:01: if_mgr[4064]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-50-1 in device E-1-1
425,1664582401,interface_down,tun-1-1-12-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-12-2"", ""link_id"": ""tun-1-1-12-2""}]",error,2022-10-01 00:00:01: if_mgr[3952]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-12-2 in device E-1-1
433,1664582401,interface_down,tun-1-1-57-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-57-2"", ""link_id"": ""tun-1-1-57-2""}]",error,2022-10-01 00:00:01: if_mgr[9668]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-57-2 in device E-1-1
435,1664582401,interface_down,tun-1-1-65-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-65-2"", ""link_id"": ""tun-1-1-65-2""}]",error,2022-10-01 00:00:01: if_mgr[3854]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-65-2 in device E-1-1
436,1664582401,interface_local_fault,tun-1-1-69-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-69-2"", ""link_id"": ""tun-1-1-69-2""}]",critical,"2022-10-01 00:00:01: npu_drvr[8338]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-69-2, Detected Local Fault"
